Category,Sub Category,Ward Name
Solid Waste (Garbage) Related,Garbage dump,Jnanabharathi Ward
Road Maintenance(Engg),Potholes,Jeevanbhima Nagar
Solid Waste (Garbage) Related,Garbage dump,Chowdeshwari Ward
Electrical,Street Light Not Working,Hongasandra
Road Maintenance(Engg),Debris Removal / Construction Material,C.V.Raman Nagar
Solid Waste (Garbage) Related,Garbage dump,Gottigere
Forest,obstructions Branches / Trees.,Sarakki
Town Planning,UnAuthorised Building Constructions,Devasandra
Health Dept,Air/Noise pollution,Newthippasandra
Solid Waste (Garbage) Related,Sweeping not done,Someshwara
Solid Waste (Garbage) Related,Sweeping not done,Hombegowda Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Anjanapur
Solid Waste (Garbage) Related,Garbage dump,BTM Layout
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Someshwara
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Hombegowda Nagar
veterinary,Animal Rescue - Not well - Requires attention,Laggere
veterinary,Fatally injured - Needs immediate attention,Kadugodi
Solid Waste (Garbage) Related,Garbage dump,Giri Nagar
Road Maintenance(Engg),Road side drains,Vignana Nagar
Others,Others,Devarajeevanahalli
veterinary,shifting of the street dogs to other places,BTM Layout
crying,chasing - nothing can be done since it is a natural instinct of a dog.,
veterinary,Street dog Adaptation process details,Chikpete
Others,Others,Bagalagunte
Others,Others,Uttarahalli
Solid Waste (Garbage) Related,Garbage dump,Shakambari Nagar
Road Infrastructure,Road Infrastructure,Shanthala Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Jayangar
Road Infrastructure,Road Infrastructure,Shakambari Nagar
Forest,Removal of dead/fallen trees,Kamakshipalya
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jeevanbhima Nagar
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Vishwanathnagenahalli
Electrical,Street Light Not Working,Ganga Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Kacharakanahalli
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Vasanthapura
Solid Waste (Garbage) Related,Garbage dump,Nagarabhavi
Solid Waste (Garbage) Related,Garbage dump,Devarajeevanahalli
Solid Waste (Garbage) Related,Garbage dump,Gurappanapalya
Road Maintenance(Engg),Debris Removal / Construction Material,Malleshwaram
Solid Waste (Garbage) Related,Garbage dump,Arakere
Forest,obstructions Branches / Trees.,Shanthala Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Hoysala Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Vidyapeetha
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),HSR Layout
Electrical,Street Light Not Working,Chowdeshwari Ward
Solid Waste (Garbage) Related,Garbage dump,J.P.Nagar
Solid Waste (Garbage) Related,Sweeping not done,Banaswadi
Electrical,Street Light Not Working,Neelasandra
Solid Waste (Garbage) Related,Garbage dump,Ramamurthy Nagar
Road Maintenance(Engg),Footpath,HSR Layout
Forest,Removal of dead/fallen trees,Adugodi
Solid Waste (Garbage) Related,Garbage dump,Chikpete
veterinary,Animal Rescue - Not well - Requires attention,Kottigepalya
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Pattabhiram Nagar
Health Dept,Air/Noise pollution,Uttarahalli
Solid Waste (Garbage) Related,Dead animal(s),Ramamurthy Nagar
